epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,332.193,0.17151,2.28683,0.95875,0.26741,0.65929,0.35675,0.35509,0.17166,1.49445,0.35064,0.00333022,0.00333022,0.00333022
2,654.028,0.15658,1.66232,0.91943,0.33344,0.62723,0.43044,0.41742,0.2974,1.31669,0.46023,0.00659758,0.00659758,0.00659758
3,972.622,0.17896,1.52642,0.92393,0.23665,0.61601,0.32551,0.31287,0.22612,1.56628,0.38334,0.00979894,0.00979894,0.00979894
4,1271.42,0.15725,1.44422,0.91749,0.50618,0.54203,0.45423,0.42823,0.27163,1.27529,0.40639,0.009703,0.009703,0.009703
5,1574.59,0.12838,1.38636,0.90862,0.39241,0.63345,0.48094,0.44052,0.32171,1.32432,0.46552,0.009604,0.009604,0.009604
6,1872.71,0.11015,1.35207,0.90011,0.43635,0.64415,0.52582,0.51883,0.27017,1.17425,0.44217,0.009505,0.009505,0.009505
7,2169.93,0.09961,1.32086,0.89955,0.43367,0.67008,0.54199,0.5389,0.26841,1.13437,0.44972,0.009406,0.009406,0.009406
8,2467.21,0.09144,1.30207,0.89671,0.4948,0.6572,0.58968,0.57528,0.27038,1.0722,0.4527,0.009307,0.009307,0.009307
9,2763.4,0.08626,1.28933,0.8969,0.49688,0.66086,0.59944,0.59428,0.2581,1.06072,0.43169,0.009208,0.009208,0.009208
10,3061.27,0.07907,1.27298,0.89336,0.51797,0.67629,0.61799,0.61399,0.25984,1.06067,0.43469,0.009109,0.009109,0.009109
11,3359.07,0.07587,1.25993,0.8955,0.54136,0.6653,0.61794,0.61553,0.25193,1.0558,0.41987,0.00901,0.00901,0.00901
12,3655.03,0.07345,1.25061,0.89404,0.55355,0.66626,0.63762,0.61831,0.35042,0.99915,0.53128,0.008911,0.008911,0.008911
13,3951.2,0.07232,1.23853,0.89236,0.56728,0.68458,0.66394,0.66253,0.28797,0.93608,0.47679,0.008812,0.008812,0.008812
14,4247.82,0.07425,1.22713,0.88973,0.57825,0.66609,0.66733,0.66699,0.24087,0.9281,0.41084,0.008713,0.008713,0.008713
15,4543.38,0.07106,1.2177,0.88974,0.60009,0.68206,0.68708,0.68646,0.23898,0.87573,0.42834,0.008614,0.008614,0.008614
16,4848.16,0.06926,1.20865,0.89057,0.60384,0.68476,0.69845,0.69544,0.26821,0.87092,0.51862,0.008515,0.008515,0.008515
17,5153.62,0.06903,1.20226,0.88719,0.63479,0.68833,0.7203,0.72025,0.25831,0.83848,0.44958,0.008416,0.008416,0.008416
18,5452.23,0.06679,1.19717,0.88659,0.6499,0.69227,0.72589,0.72589,0.24016,0.81892,0.43313,0.008317,0.008317,0.008317
19,5748.23,0.0654,1.18312,0.88619,0.62699,0.72383,0.73155,0.73155,0.21375,0.78908,0.40813,0.008218,0.008218,0.008218
20,6043.81,0.06265,1.18497,0.8875,0.63577,0.72966,0.74791,0.74784,0.22899,0.79616,0.41028,0.008119,0.008119,0.008119
21,6338.68,0.06152,1.17808,0.88562,0.64264,0.72073,0.73959,0.73957,0.23952,0.8011,0.4329,0.00802,0.00802,0.00802
22,6633.94,0.06046,1.16346,0.88545,0.65224,0.72816,0.75505,0.75486,0.23767,0.79331,0.45285,0.007921,0.007921,0.007921
23,6929.21,0.05837,1.16756,0.88613,0.65918,0.73575,0.76276,0.76272,0.22423,0.75733,0.42544,0.007822,0.007822,0.007822
24,7223.47,0.05879,1.1566,0.88476,0.68181,0.71887,0.7675,0.7675,0.21563,0.75417,0.40674,0.007723,0.007723,0.007723
25,7518.17,inf,1.15171,0.88418,0.67164,0.72251,0.75978,0.75976,0.20204,0.76587,0.38993,0.007624,0.007624,0.007624
26,7813.98,0.05866,1.15114,0.88478,0.68471,0.72794,0.76991,0.76655,0.2834,0.7994,0.3977,0.007525,0.007525,0.007525
27,8109.28,0.05904,1.13854,0.88753,0.68623,0.72982,0.77633,0.77633,0.23685,0.73532,0.43133,0.007426,0.007426,0.007426
28,8404.74,0.0564,1.13427,0.88546,0.6765,0.74606,0.78192,0.78188,0.20553,0.728,0.38651,0.007327,0.007327,0.007327
29,8700.45,0.05522,1.12444,0.88421,0.68497,0.72712,0.78074,0.78073,0.21677,0.7356,0.39806,0.007228,0.007228,0.007228
30,8995.62,0.05512,1.12927,0.88348,0.68664,0.75722,0.78915,0.78912,0.19182,0.72102,0.36287,0.007129,0.007129,0.007129
31,9290.69,0.05451,1.12445,0.88285,0.68381,0.75478,0.78949,0.78943,0.20479,0.73735,0.38958,0.00703,0.00703,0.00703
32,9586.11,0.05373,1.11624,0.88401,0.68674,0.75081,0.79239,0.79238,0.19623,0.72235,0.3729,0.006931,0.006931,0.006931
33,9880.27,0.05258,1.11626,0.88387,0.69707,0.75301,0.79764,0.79764,0.19015,0.71736,0.36077,0.006832,0.006832,0.006832
34,10175.5,0.05213,1.11358,0.88455,0.70128,0.74944,0.79715,0.79715,0.16646,0.7179,0.32902,0.006733,0.006733,0.006733
35,10471.7,0.05208,1.10816,0.88471,0.69311,0.7576,0.79994,0.79994,0.15013,0.71512,0.30823,0.006634,0.006634,0.006634
36,10763.5,0.05186,1.10788,0.88423,0.684,0.76316,0.80167,0.80164,0.15192,0.71244,0.3054,0.006535,0.006535,0.006535
37,11054,0.05069,1.0938,0.88513,0.69602,0.76854,0.80645,0.8063,0.13383,0.69129,0.28787,0.006436,0.006436,0.006436
38,11342.3,0.0496,1.09263,0.88316,0.70848,0.7659,0.80899,0.80899,0.12509,0.69282,0.27423,0.006337,0.006337,0.006337
39,11631.1,0.0497,1.08946,0.88432,0.71034,0.75799,0.81195,0.81195,0.11583,0.68461,0.26177,0.006238,0.006238,0.006238
40,11920.5,inf,1.08822,0.88314,0.70826,0.76317,0.81286,0.81286,0.12098,0.67884,0.26704,0.006139,0.006139,0.006139
41,12209.9,0.04891,1.08135,0.88299,0.70401,0.76481,0.81072,0.81072,0.11468,0.68393,0.25819,0.00604,0.00604,0.00604
42,12499.5,0.04843,1.0764,0.88191,0.70412,0.76603,0.81362,0.81362,0.11357,0.68046,0.2543,0.005941,0.005941,0.005941
43,12788.6,0.04809,1.0765,0.88253,0.70815,0.76325,0.81076,0.81069,0.11611,0.6788,0.25552,0.005842,0.005842,0.005842
44,13078.4,0.047,1.07548,0.88464,0.62875,0.76086,0.75089,0.74571,0.15962,0.75886,0.2692,0.005743,0.005743,0.005743
45,13372.6,0.04651,1.07053,0.88317,0.70408,0.76126,0.80172,0.80133,0.12,0.67963,0.25891,0.005644,0.005644,0.005644
46,13664.3,0.04653,1.06346,0.88236,0.71344,0.76535,0.81582,0.81582,0.11917,0.66954,0.26145,0.005545,0.005545,0.005545
47,13956.1,0.04672,1.06023,0.88308,0.71957,0.76011,0.81693,0.81693,0.11692,0.66814,0.25934,0.005446,0.005446,0.005446
48,14246.2,0.04554,1.06412,0.88381,0.71595,0.76587,0.8178,0.8178,0.11611,0.66769,0.25845,0.005347,0.005347,0.005347
49,14537.1,0.04571,1.05436,0.88345,0.72092,0.76506,0.81936,0.81936,0.11624,0.66461,0.25958,0.005248,0.005248,0.005248
50,14830.1,inf,1.04914,0.88264,0.72349,0.76524,0.8207,0.8207,0.11613,0.66083,0.26015,0.005149,0.005149,0.005149
51,15120.7,0.04466,1.0477,0.8837,0.72014,0.76736,0.82107,0.82107,0.11475,0.65801,0.25802,0.00505,0.00505,0.00505
52,15412,0.04498,1.03791,0.8824,0.72089,0.76601,0.82108,0.82108,0.11453,0.65738,0.25543,0.004951,0.004951,0.004951
53,15701.8,0.0442,1.04622,0.88196,0.73127,0.75552,0.82184,0.82184,0.11487,0.65727,0.25452,0.004852,0.004852,0.004852
54,15991.2,0.04413,1.03614,0.88311,0.73158,0.76045,0.82238,0.82238,0.11309,0.65678,0.25255,0.004753,0.004753,0.004753
55,16280.4,0.04368,1.03424,0.88172,0.73591,0.7567,0.82258,0.82258,0.11087,0.6572,0.25085,0.004654,0.004654,0.004654
56,16571.1,0.04353,1.03467,0.88305,0.72669,0.76552,0.82313,0.82313,0.1103,0.65713,0.25001,0.004555,0.004555,0.004555
57,16877.2,0.0436,1.03011,0.88174,0.72583,0.76537,0.82286,0.82286,0.10997,0.65669,0.24949,0.004456,0.004456,0.004456
