epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11726.3,0.69043,1.06371,1.16424,0.72268,0.75532,0.81868,0.72103,0.54443,0.6873,1.16127,0.005842,0.005842,0.005842
44,11989.2,0.69087,1.06121,1.16357,0.71956,0.77087,0.81986,0.72326,0.54276,0.68552,1.15839,0.005743,0.005743,0.005743
45,12251.9,0.68646,1.06382,1.15858,0.72964,0.75921,0.82129,0.72482,0.54025,0.68285,1.15545,0.005644,0.005644,0.005644
46,12514.4,0.68377,1.05634,1.15875,0.73205,0.75826,0.82286,0.72475,0.54059,0.68113,1.15679,0.005545,0.005545,0.005545
47,12777.9,0.6803,1.04172,1.15597,0.72689,0.76954,0.82543,0.72923,0.53757,0.67659,1.15479,0.005446,0.005446,0.005446
48,13041.7,0.6829,1.04511,1.15762,0.7112,0.78115,0.82522,0.72967,0.53771,0.67659,1.15514,0.005347,0.005347,0.005347
49,13304.2,0.67721,1.04377,1.15329,0.718,0.77195,0.8247,0.72935,0.53482,0.67754,1.15207,0.005248,0.005248,0.005248
50,13566,0.67821,1.04186,1.15456,0.72228,0.76513,0.82545,0.73001,0.5342,0.67715,1.15122,0.005149,0.005149,0.005149
51,13828.1,0.67732,1.03056,1.15382,0.72166,0.76946,0.82629,0.73129,0.53414,0.67554,1.1513,0.00505,0.00505,0.00505
52,14089.8,0.67736,1.03425,1.15376,0.71298,0.78474,0.82693,0.73159,0.53562,0.67503,1.15281,0.004951,0.004951,0.004951
53,14351.4,0.66983,1.02577,1.14883,0.72195,0.77218,0.82724,0.7318,0.5361,0.67507,1.15315,0.004852,0.004852,0.004852
54,14616.5,0.6711,1.01817,1.14842,0.71976,0.77314,0.82787,0.73279,0.53492,0.6738,1.15179,0.004753,0.004753,0.004753
55,14880.9,0.66813,1.01128,1.14701,0.72436,0.76628,0.8282,0.73297,0.53412,0.6728,1.15058,0.004654,0.004654,0.004654
56,15155.8,0.66778,1.0129,1.14716,0.7256,0.76766,0.82877,0.73392,0.53351,0.67158,1.15023,0.004555,0.004555,0.004555
