epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7671,1.63219,4.5644,1.7774,0.01554,0.79335,0.09347,0.05676,1.07687,3.39338,1.18661,0.00017271,0.00017271,0.00017271
2,20.3555,1.07388,3.68758,1.21682,0.01588,1,0.17588,0.11222,1.03561,3.20653,1.10953,0.000353106,0.000353106,0.000353106
3,26.1475,1.07164,3.28891,1.20588,0.00832,0.94231,0.1634,0.11059,1.07745,3.10048,1.18416,0.000532062,0.000532062,0.000532062
4,32.1198,1.08462,3.11722,1.17519,0.4095,0.10272,0.21326,0.14544,1.06723,2.91985,1.2434,0.000709579,0.000709579,0.000709579
5,37.6988,1.03696,2.97032,1.15251,0.08842,0.19709,0.18562,0.11963,1.15642,3.06819,1.31317,0.000885655,0.000885655,0.000885655
6,43.0369,1.07016,2.79475,1.14883,0.16712,0.37325,0.21673,0.15006,1.11595,2.67173,1.28933,0.000891002,0.000891002,0.000891002
7,48.311,1.00659,2.6859,1.13887,0.23724,0.46118,0.34592,0.25517,1.00744,2.08071,1.1908,0.000887402,0.000887402,0.000887402
8,53.5772,0.98962,2.55178,1.13084,0.2224,0.50267,0.31539,0.2292,1.03406,2.17972,1.25974,0.000883803,0.000883803,0.000883803
9,58.8391,0.99339,2.49301,1.13849,0.35358,0.29626,0.24834,0.17103,1.21727,2.93248,1.34385,0.000880203,0.000880203,0.000880203
10,64.1294,0.95181,2.38598,1.09396,0.2557,0.44137,0.27219,0.19848,1.06263,2.60513,1.27628,0.000876603,0.000876603,0.000876603
11,69.4111,0.95577,2.31237,1.11565,0.30179,0.43725,0.38513,0.29118,1.01049,2.03159,1.21672,0.000873004,0.000873004,0.000873004
12,74.6757,0.91377,2.90588,1.05017,0.25336,0.46862,0.37936,0.26143,1.00739,2.20158,1.2005,0.000869404,0.000869404,0.000869404
13,80.0164,0.96405,2.22509,1.11739,0.41282,0.55697,0.46975,0.3444,0.93341,2.0009,1.17986,0.000865804,0.000865804,0.000865804
14,85.9879,0.9695,2.10016,1.10358,0.42206,0.50584,0.48347,0.36443,0.94258,1.76494,1.14538,0.000862205,0.000862205,0.000862205
15,92.0211,0.94636,2.15386,1.10758,0.37507,0.60994,0.48261,0.37039,0.93172,1.71572,1.12537,0.000858605,0.000858605,0.000858605
16,97.3684,0.95266,2.01203,1.09506,0.35492,0.56981,0.45742,0.36126,0.92629,1.93532,1.17547,0.000855005,0.000855005,0.000855005
17,102.699,0.92727,1.91388,1.0929,0.38351,0.48193,0.47534,0.3642,0.98684,1.80474,1.16308,0.000851406,0.000851406,0.000851406
18,108.056,0.93512,1.99346,1.07682,0.48513,0.59164,0.52838,0.38575,1.00119,1.80352,1.20191,0.000847806,0.000847806,0.000847806
19,113.431,0.90106,1.95256,1.08623,0.33569,0.54893,0.44547,0.33815,1.01952,1.90828,1.20286,0.000844206,0.000844206,0.000844206
20,118.784,0.89258,1.7408,1.07159,0.43112,0.59491,0.55378,0.42293,0.9487,1.78194,1.16328,0.000840607,0.000840607,0.000840607
21,124.203,0.88841,1.68903,1.07307,0.4518,0.53514,0.52537,0.4092,1.00248,1.80714,1.20941,0.000837007,0.000837007,0.000837007
22,129.634,0.90533,1.73752,1.08777,0.46852,0.46086,0.54012,0.42508,0.98549,1.79132,1.20217,0.000833408,0.000833408,0.000833408
23,135.066,0.80768,1.70424,1.0304,0.29299,0.64437,0.44182,0.34021,0.94103,1.82872,1.16034,0.000829808,0.000829808,0.000829808
24,140.479,0.88094,1.60164,1.05699,0.59824,0.48506,0.58261,0.44812,0.92697,1.40219,1.14492,0.000826208,0.000826208,0.000826208
25,145.984,0.85713,1.69683,1.05314,0.43744,0.50259,0.50754,0.38659,0.94012,1.6,1.16092,0.000822609,0.000822609,0.000822609
