epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,240.375,0.79742,1.1324,1.02687,0.44757,0.65589,0.54969,0.40936,0.94671,1.72034,1.18873,0.000786012,0.000786012,0.000786012
43,246.23,0.78324,1.09213,1.05211,0.59095,0.4461,0.47664,0.35011,1.01147,2.31647,1.24862,0.000783013,0.000783013,0.000783013
44,252.082,0.76696,1.12583,1.03334,0.33258,0.48827,0.40209,0.3099,1.10126,2.26418,1.32619,0.000780013,0.000780013,0.000780013
45,257.946,0.74303,1.17904,1.02521,0.44827,0.63503,0.5326,0.38716,0.9889,1.7225,1.22114,0.000777013,0.000777013,0.000777013
46,263.745,0.73927,1.07129,1.01113,0.37207,0.47886,0.42274,0.30932,1.05697,2.14318,1.26119,0.000774013,0.000774013,0.000774013
47,269.594,0.77941,1.05587,1.02081,0.42434,0.55855,0.5482,0.41079,0.9055,1.58812,1.13802,0.000771014,0.000771014,0.000771014
48,275.512,0.82888,1.06472,1.04425,0.51384,0.53627,0.58545,0.44248,0.98483,1.72765,1.18113,0.000768014,0.000768014,0.000768014
49,281.435,0.77637,1.13631,1.03533,0.54783,0.60281,0.60203,0.45265,0.94636,1.50391,1.14136,0.000765014,0.000765014,0.000765014
50,287.289,0.74571,1.04741,0.99352,0.37762,0.61457,0.51557,0.39192,0.94539,1.896,1.16238,0.000762015,0.000762015,0.000762015
51,293.233,0.74743,1.03641,1.00745,0.49842,0.57436,0.53835,0.40249,0.94345,1.70757,1.20204,0.000759015,0.000759015,0.000759015
52,299.177,0.74332,1.07488,1.01739,0.62959,0.5981,0.59559,0.44626,0.94128,1.59791,1.20325,0.000756015,0.000756015,0.000756015
53,305.163,0.76191,1.03099,1.02689,0.50641,0.62357,0.61235,0.45927,0.93058,1.44449,1.19379,0.000753016,0.000753016,0.000753016
54,311.034,0.72356,1.00403,1.00133,0.36648,0.71072,0.53836,0.41382,0.86826,1.57588,1.12686,0.000750016,0.000750016,0.000750016
55,316.945,0.70399,0.91664,0.98091,0.48123,0.50518,0.47597,0.35743,0.90654,1.84871,1.17323,0.000747016,0.000747016,0.000747016
56,322.921,0.75386,1.05187,1.00973,0.46557,0.58942,0.55066,0.42382,0.93244,1.66985,1.1726,0.000744016,0.000744016,0.000744016
57,328.86,0.71856,0.97621,0.97215,0.45528,0.53661,0.5374,0.41636,0.87313,1.5417,1.12899,0.000741017,0.000741017,0.000741017
58,334.799,0.75118,1.02101,1.0279,0.42562,0.63525,0.54179,0.40743,0.93295,1.52807,1.15517,0.000738017,0.000738017,0.000738017
59,340.522,0.7141,0.90135,0.99109,0.5634,0.50673,0.55724,0.40583,0.94313,1.51525,1.17222,0.000735017,0.000735017,0.000735017
60,346.169,0.72887,0.90643,1.00231,0.54206,0.56881,0.59023,0.44252,0.90433,1.42162,1.15254,0.000732018,0.000732018,0.000732018
61,351.915,0.75567,0.91473,1.02738,0.49349,0.58534,0.57911,0.44871,0.86871,1.46807,1.12392,0.000729018,0.000729018,0.000729018
62,357.621,0.72898,0.88788,1.02127,0.50498,0.67918,0.62411,0.47824,0.92365,1.52879,1.1446,0.000726018,0.000726018,0.000726018
63,363.382,0.70023,0.87026,0.98186,0.43956,0.66377,0.57858,0.43968,0.92,1.57818,1.14883,0.000723019,0.000723019,0.000723019
64,369.157,0.66947,0.85748,0.98875,0.43233,0.60208,0.51882,0.39466,0.91687,1.70778,1.15602,0.000720019,0.000720019,0.000720019
65,374.869,0.68685,0.89099,0.98625,0.44453,0.54581,0.55273,0.41799,0.92175,1.80039,1.17976,0.000717019,0.000717019,0.000717019
66,380.688,0.71531,0.96201,1.00339,0.63349,0.45924,0.59328,0.45567,0.90864,1.48298,1.1388,0.000714019,0.000714019,0.000714019
67,386.488,0.69514,0.83787,0.97793,0.37135,0.64759,0.60244,0.45976,0.92199,1.53801,1.16085,0.00071102,0.00071102,0.00071102
68,392.187,0.70192,0.88876,0.99877,0.47639,0.57968,0.54284,0.41562,0.91072,1.55414,1.16947,0.00070802,0.00070802,0.00070802
69,397.954,0.71002,0.94398,0.97476,0.45971,0.58045,0.55819,0.41529,0.90087,1.56678,1.13186,0.00070502,0.00070502,0.00070502
70,403.749,0.6519,0.85041,0.96648,0.62351,0.54532,0.62929,0.4747,0.938,1.32942,1.14988,0.000702021,0.000702021,0.000702021
71,409.496,0.72069,0.9294,1.008,0.49558,0.51914,0.52428,0.39151,0.89962,1.65036,1.15702,0.000699021,0.000699021,0.000699021
72,415.271,0.70108,0.83539,0.97366,0.52029,0.63625,0.5968,0.45223,0.92779,1.42088,1.17634,0.000696021,0.000696021,0.000696021
73,420.952,0.67433,0.82055,0.96778,0.44018,0.64077,0.56624,0.43322,0.91748,1.44365,1.17628,0.000693022,0.000693022,0.000693022
74,426.692,0.69783,0.79483,0.97655,0.53457,0.72454,0.61482,0.4692,0.89904,1.36123,1.14179,0.000690022,0.000690022,0.000690022
75,432.437,0.71064,0.79645,0.98628,0.54962,0.5991,0.66976,0.50965,0.91261,1.40373,1.15083,0.000687022,0.000687022,0.000687022
76,438.208,0.68071,0.80598,0.98516,0.51867,0.72539,0.68372,0.51094,0.93978,1.30373,1.20466,0.000684022,0.000684022,0.000684022
77,443.957,0.67773,0.7385,0.97033,0.62039,0.51377,0.61888,0.46553,0.96288,1.38106,1.20511,0.000681023,0.000681023,0.000681023
78,449.725,0.6869,0.77174,0.98334,0.58185,0.61876,0.63238,0.47566,0.95441,1.28302,1.20323,0.000678023,0.000678023,0.000678023
79,455.504,0.67099,0.75696,0.97397,0.50106,0.62468,0.6119,0.46511,0.905,1.4519,1.16321,0.000675023,0.000675023,0.000675023
80,461.303,0.70367,0.81253,1.00381,0.47103,0.51065,0.55527,0.43046,0.90404,1.58281,1.14993,0.000672024,0.000672024,0.000672024
81,467.011,0.66096,0.75365,0.96886,0.49738,0.59846,0.61149,0.47024,0.88221,1.30197,1.14011,0.000669024,0.000669024,0.000669024
82,472.799,0.6747,0.77559,0.97402,0.72381,0.59136,0.65063,0.5114,0.84239,1.32024,1.1114,0.000666024,0.000666024,0.000666024
83,478.556,0.63124,0.79767,0.97222,0.48962,0.6862,0.61566,0.48728,0.83471,1.35277,1.10008,0.000663025,0.000663025,0.000663025
84,484.336,0.64457,0.7448,0.95483,0.62412,0.58062,0.62429,0.48519,0.85986,1.33786,1.12223,0.000660025,0.000660025,0.000660025
85,490.077,0.65594,0.71782,0.97771,0.51809,0.66115,0.62049,0.48742,0.9034,1.4432,1.18717,0.000657025,0.000657025,0.000657025
86,495.882,0.63652,0.7218,0.96152,0.52285,0.65032,0.59269,0.45487,0.91686,1.49839,1.19464,0.000654025,0.000654025,0.000654025
87,501.661,0.63945,0.72002,0.96467,0.70956,0.51855,0.6521,0.48259,0.94682,1.40163,1.19282,0.000651026,0.000651026,0.000651026
88,507.494,0.63111,0.72345,0.96752,0.54427,0.64057,0.638,0.49366,0.88931,1.46589,1.14207,0.000648026,0.000648026,0.000648026
89,513.262,0.6398,0.69576,0.95595,0.64058,0.66385,0.67283,0.50655,0.89538,1.24308,1.12963,0.000645026,0.000645026,0.000645026
90,519.056,0.62975,0.68961,0.94548,0.54676,0.47946,0.55138,0.41834,0.92237,1.58552,1.1817,0.000642027,0.000642027,0.000642027
91,524.841,0.62268,0.71566,0.95709,0.50176,0.60078,0.61827,0.46861,0.94078,1.47594,1.20406,0.000639027,0.000639027,0.000639027
92,530.579,0.64857,0.71193,0.96233,0.56212,0.60887,0.60794,0.46416,0.91825,1.4998,1.15379,0.000636027,0.000636027,0.000636027
93,536.397,0.65845,0.66205,0.96967,0.66387,0.59694,0.62881,0.47106,0.91143,1.39628,1.14092,0.000633028,0.000633028,0.000633028
94,542.161,0.65185,0.69398,0.96202,0.56309,0.56187,0.52668,0.3997,0.90233,1.56296,1.12927,0.000630028,0.000630028,0.000630028
95,547.986,0.66227,0.73317,0.94972,0.6245,0.4983,0.61176,0.46237,0.89867,1.43427,1.151,0.000627028,0.000627028,0.000627028
96,553.942,0.61516,0.66884,0.95797,0.54365,0.55716,0.53966,0.39702,0.93696,1.53358,1.20136,0.000624028,0.000624028,0.000624028
97,559.735,0.60226,0.67892,0.9507,0.54341,0.55086,0.5639,0.42134,0.94686,1.60087,1.19127,0.000621029,0.000621029,0.000621029
98,565.512,0.65569,0.75177,0.95798,0.42074,0.58618,0.5639,0.42045,0.92957,1.53486,1.20898,0.000618029,0.000618029,0.000618029
99,571.286,0.62904,0.68906,0.95536,0.49458,0.54623,0.58864,0.45587,0.86551,1.44775,1.131,0.000615029,0.000615029,0.000615029
100,577.19,0.63369,0.667,0.95038,0.7162,0.49765,0.63287,0.4835,0.87872,1.4055,1.11925,0.00061203,0.00061203,0.00061203
101,582.955,0.64675,0.68079,0.94272,0.50574,0.61882,0.59486,0.44937,0.94817,1.53009,1.22643,0.00060903,0.00060903,0.00060903
102,588.77,0.62916,0.64804,0.95825,0.57477,0.63782,0.64326,0.47176,0.98631,1.40005,1.27484,0.00060603,0.00060603,0.00060603
103,594.726,0.60983,0.65256,0.95242,0.5661,0.59921,0.65359,0.49549,0.90581,1.39004,1.16745,0.000603031,0.000603031,0.000603031
104,600.799,0.60448,0.61591,0.95302,0.53187,0.6747,0.64196,0.49,0.87461,1.33736,1.13401,0.000600031,0.000600031,0.000600031
